iter	Passed	Remaining
0	9	9581
1	19	9554
2	27	9010
3	36	9150
4	46	9184
5	56	9335
6	66	9436
7	75	9319
8	85	9384
9	94	9334
10	105	9458
11	115	9511
12	124	9457
13	147	10375
14	156	10293
15	165	10163
16	172	9988
17	181	9909
18	188	9758
19	201	9871
20	210	9803
21	219	9767
22	228	9691
23	237	9648
24	246	9622
25	254	9526
26	273	9841
27	282	9810
28	291	9760
29	300	9703
30	309	9665
31	317	9594
32	325	9544
33	332	9447
34	340	9374
35	348	9327
36	357	9296
37	365	9245
38	385	9501
39	396	9504
40	405	9491
41	414	9459
42	423	9420
43	430	9363
44	439	9327
45	447	9270
46	457	9268
47	464	9207
48	474	9202
49	492	9351
50	502	9351
51	511	9333
52	520	9298
53	527	9243
54	536	9214
55	543	9158
56	553	9164
57	562	9130
58	572	9135
59	582	9127
60	590	9083
61	601	9096
62	608	9054
63	635	9299
64	643	9252
65	653	9254
66	660	9198
67	667	9153
68	681	9193
69	696	9247
70	704	9213
71	716	9232
72	728	9254
73	735	9199
74	745	9196
75	753	9159
76	762	9139
77	770	9106
78	780	9099
79	790	9085
80	798	9059
81	810	9078
82	820	9065
83	825	8998
84	831	8952
85	840	8931
86	847	8889
87	870	9020
88	878	8988
89	890	9008
90	908	9074
91	923	9111
92	936	9137
93	946	9124
94	957	9119
95	965	9092
96	973	9066
97	982	9045
98	991	9021
99	1001	9016
100	1008	8977
101	1022	9005
102	1033	8996
103	1040	8964
104	1050	8953
105	1058	8924
106	1069	8929
107	1077	8897
108	1084	8867
109	1091	8833
110	1121	8979
111	1135	9000
112	1145	8993
113	1152	8955
114	1161	8938
115	1170	8917
116	1181	8917
117	1189	8888
118	1197	8869
119	1206	8848
120	1216	8836
121	1228	8842
122	1236	8818
123	1246	8805
124	1253	8773
125	1262	8754
126	1269	8729
127	1278	8707
128	1286	8687
129	1293	8659
130	1303	8644
131	1309	8609
132	1319	8598
133	1330	8599
134	1357	8695
135	1369	8697
136	1377	8674
137	1386	8662
138	1395	8646
139	1403	8621
140	1409	8586
141	1419	8574
142	1428	8562
143	1436	8542
144	1446	8532
145	1454	8509
146	1462	8488
147	1470	8464
148	1481	8462
149	1488	8437
150	1498	8425
151	1508	8416
152	1515	8391
153	1525	8380
154	1535	8369
155	1547	8370
156	1558	8367
157	1574	8390
158	1642	8689
159	1658	8708
160	1666	8685
161	1679	8685
162	1687	8667
163	1695	8644
164	1705	8629
165	1712	8603
166	1722	8592
167	1730	8570
168	1739	8553
169	1747	8531
170	1755	8509
171	1763	8491
172	1774	8484
173	1785	8474
174	1792	8449
175	1801	8432
176	1808	8409
177	1817	8393
178	1835	8420
179	1847	8416
180	1856	8398
181	1864	8379
182	1871	8355
183	1878	8330
184	1885	8306
185	1893	8287
186	1901	8265
187	1909	8247
188	1914	8214
189	1922	8194
190	1931	8179
191	1938	8159
192	1946	8138
193	1954	8121
194	1964	8107
195	1971	8086
196	1979	8069
197	1988	8055
198	1995	8033
199	2002	8009
200	2010	7991
201	2017	7970
202	2025	7952
203	2031	7927
204	2040	7913
205	2048	7894
206	2061	7898
207	2080	7923
208	2089	7907
209	2099	7896
210	2105	7874
211	2114	7859
212	2126	7855
213	2134	7840
214	2142	7822
215	2151	7809
216	2160	7796
217	2169	7783
218	2176	7763
219	2185	7748
220	2194	7735
221	2204	7724
222	2213	7712
223	2222	7698
224	2226	7668
225	2233	7650
226	2241	7634
227	2252	7627
228	2262	7617
229	2274	7614
230	2286	7610
231	2292	7588
232	2301	7577
233	2330	7628
234	2342	7625
235	2354	7622
236	2376	7650
237	2403	7693
238	2413	7685
239	2420	7664
240	2427	7644
241	2435	7627
242	2443	7611
243	2449	7589
244	2456	7569
245	2464	7554
246	2474	7544
247	2482	7526
248	2488	7506
249	2496	7489
250	2503	7471
251	2512	7457
252	2519	7437
253	2525	7416
254	2535	7406
255	2542	7389
256	2557	7395
257	2565	7378
258	2574	7365
259	2583	7353
260	2597	7355
261	2606	7342
262	2614	7326
263	2622	7312
264	2634	7306
265	2642	7290
266	2651	7278
267	2660	7266
268	2669	7255
269	2683	7254
270	2689	7234
271	2700	7227
272	2711	7221
273	2719	7206
274	2727	7190
275	2736	7177
276	2746	7168
277	2755	7156
278	2763	7141
279	2773	7131
280	2781	7117
281	2807	7149
282	2814	7130
283	2824	7119
284	2832	7105
285	2841	7094
286	2849	7079
287	2858	7067
288	2867	7053
289	2874	7037
290	2882	7022
291	2897	7024
292	2906	7012
293	2915	7000
294	2921	6981
295	2932	6975
296	2940	6960
297	2946	6940
298	2953	6925
299	2962	6913
300	2970	6899
301	2983	6896
302	3001	6903
303	3012	6895
304	3023	6889
305	3069	6962
306	3077	6945
307	3085	6932
308	3093	6918
309	3100	6901
310	3109	6888
311	3115	6870
312	3125	6859
313	3132	6842
314	3143	6835
315	3152	6823
316	3161	6812
317	3170	6800
318	3179	6787
319	3185	6768
320	3193	6754
321	3200	6739
322	3208	6725
323	3215	6708
324	3223	6694
325	3229	6677
326	3237	6663
327	3245	6648
328	3253	6634
329	3260	6619
330	3267	6604
331	3283	6607
332	3290	6591
333	3298	6577
334	3307	6564
335	3319	6559
336	3325	6542
337	3335	6532
338	3342	6517
339	3350	6503
340	3359	6491
341	3368	6481
342	3374	6463
343	3383	6451
344	3390	6437
345	3399	6425
346	3407	6411
347	3419	6407
348	3438	6413
349	3449	6406
350	3461	6400
351	3474	6395
352	3486	6390
353	3498	6384
354	3507	6373
355	3536	6396
356	3543	6382
357	3550	6366
358	3558	6353
359	3565	6338
360	3572	6324
361	3579	6309
362	3586	6293
363	3594	6279
364	3601	6266
365	3609	6253
366	3616	6237
367	3624	6224
368	3631	6210
369	3641	6199
370	3647	6184
371	3652	6165
372	3659	6151
373	3665	6135
374	3672	6121
375	3679	6106
376	3686	6092
377	3692	6076
378	3699	6062
379	3707	6048
380	3713	6033
381	3722	6021
382	3730	6009
383	3739	5998
384	3745	5983
385	3751	5968
386	3767	5967
387	3775	5954
388	3782	5941
389	3789	5926
390	3804	5926
391	3820	5925
392	3827	5910
393	3837	5902
394	3845	5890
395	3853	5877
396	3862	5866
397	3870	5855
398	3879	5843
399	3887	5831
400	3895	5819
401	3904	5808
402	3913	5796
403	3921	5785
404	3931	5775
405	3940	5764
406	3952	5759
407	3960	5746
408	3968	5734
409	3980	5728
410	4018	5758
411	4028	5749
412	4037	5738
413	4047	5729
414	4055	5717
415	4064	5705
416	4070	5691
417	4077	5677
418	4084	5663
419	4091	5650
420	4097	5635
421	4105	5623
422	4108	5604
423	4115	5590
424	4121	5576
425	4127	5561
426	4134	5548
427	4141	5535
428	4148	5521
429	4155	5507
